AvgNumResults,CountQueries,HasResults,NetworkUserType,Scope   ,SearchTerm               ,UsedDeflection
10.48        ,3           ,TRUE      ,Partner        ,FeedPost,dark roast decaf         ,TRUE
0            ,1           ,FALSE     ,Partner        ,FeedPost,dark roast decaf         ,FALSE
4.34         ,3           ,TRUE      ,Customer       ,Accounts,dark roast decaf         ,TRUE
8.23         ,2           ,TRUE      ,Customer       ,All     ,dark roast decaf         ,TRUE
0            ,3           ,FALSE     ,Customer       ,All     ,dark roast decaf         ,FALSE
10.7         ,3           ,TRUE      ,Customer       ,FeedPost,dark roast decaf         ,TRUE
0            ,3           ,FALSE     ,Customer       ,FeedPost,dark roast decaf         ,FALSE
12.13        ,1           ,TRUE      ,Undefined      ,Accounts,Clean Perfect Cup        ,TRUE
9.5          ,3           ,TRUE      ,Undefined      ,Accounts,dark roast decaf         ,TRUE
0            ,1           ,FALSE     ,Undefined      ,Accounts,dark roast decaf         ,FALSE
0            ,3           ,FALSE     ,Internal       ,All     ,sustainable fairtrade    ,FALSE
0.15         ,3           ,TRUE      ,Internal       ,All     ,dark roast decaf         ,TRUE
0            ,2           ,FALSE     ,Internal       ,All     ,dark roast decaf         ,FALSE
0            ,3           ,FALSE     ,Internal       ,FeedPost,sustainable fairtrade    ,FALSE
19.65        ,2           ,TRUE      ,Internal       ,FeedPost,dark roast decaf         ,TRUE
0            ,3           ,FALSE     ,Internal       ,FeedPost,dark roast decaf         ,FALSE
0            ,3           ,FALSE     ,Internal       ,Accounts,dark roast decaf         ,FALSE
0            ,2           ,FALSE     ,Customer       ,Accounts,dark roast decaf         ,FALSE
